Industry,Company,Domain,CDN_Providers,Multi_CDN,Detection_Methods,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:16.936111
Energy & Utilities,Chevron,chevron.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:17.527041
Energy & Utilities,ConocoPhillips,conocophillips.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:18.121441
Energy & Utilities,Duke Energy,duke-energy.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:18.828999
Energy & Utilities,NextEra Energy,nexteraenergy.com,Google Cloud CDN,NO,ip: Google Cloud CDN,success,,2025-10-06T21:24:19.684536
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:08.044365
Financial Services & Banking,JPMorgan,jpmorgan.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:09.458010
Financial Services & Banking,Chase,chase.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:10.192386
Financial Services & Banking,Bank of America,bankofamerica.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:10.967135
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,ip: Akamai,success,,2025-10-06T21:24:11.767359
Financial Services & Banking,Citigroup,citigroup.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:11.983751
Financial Services & Banking,Goldman Sachs,goldmansachs.com,Akamai,NO,headers: Akamai,success,,2025-10-06T21:24:13.140505
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,ip: Fastly,success,,2025-10-06T21:24:00.530353
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:02.254304
Healthcare & Pharmaceuticals,Johnson & Johnson,jnj.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:02.632583
Healthcare & Pharmaceuticals,Pfizer,pfizer.com,Cloudflare,NO,ip: Cloudflare; headers: Cloudflare,success,,2025-10-06T21:24:03.271526
Healthcare & Pharmaceuticals,Cigna,cigna.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:03.595586
Payment Processing & Fintech,PayPal,paypal.com,Cloudflare; Fastly,YES,ip: Fastly,success,,2025-10-06T21:24:13.504909
Payment Processing & Fintech,Visa,visa.com,Cloudflare,NO,ip: Cloudflare; headers: Cloudflare,success,,2025-10-06T21:24:13.786461
Payment Processing & Fintech,Mastercard,mastercard.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:14.094000
Payment Processing & Fintech,Stripe,stripe.com,Azure CDN,NO,ip: Azure CDN,success,,2025-10-06T21:24:14.664020
Payment Processing & Fintech,Block (Square),block.xyz,Fastly,NO,ip: Fastly,success,,2025-10-06T21:24:15.523405
Retail & E-commerce,Walmart,walmart.com,Direct/Origin Server,NO,,success,,2025-10-06T21:24:06.416273
Retail & E-commerce,Costco,costco.com,Akamai,NO,ip: Akamai,success,,2025-10-06T21:24:07.043217
Retail & E-commerce,Home Depot,homedepot.com,Google Cloud CDN,NO,ip: Google Cloud CDN,success,,2025-10-06T21:24:07.514737
Retail & E-commerce,Target,target.com,Fastly,NO,ip: Fastly,success,,2025-10-06T21:24:07.859969
Technology & Software,Apple,apple.com,Internal/Proprietary CDN,NO,,success,,2025-10-06T21:24:04.622714
Technology & Software,Microsoft,microsoft.com,Azure CDN,NO,ip: Azure CDN; headers: Azure CDN,success,,2025-10-06T21:24:04.754576
Technology & Software,Amazon,amazon.com,AWS CloudFront; Azure CDN,YES,ip: AWS CloudFront,success,,2025-10-06T21:24:05.176407
Technology & Software,Google,google.com,Internal/Proprietary CDN,NO,,success,,2025-10-06T21:24:05.692214
Technology & Software,Meta,meta.com,Internal/Proprietary CDN,NO,,success,,2025-10-06T21:24:05.929977
Technology & Software,Amazon,amazon.com,AWS CloudFront; Azure CDN,YES,ip: AWS CloudFront,success,,2025-10-06T21:24:06.662315
