Industry,Company,Domain,CDN_Providers,Multi_CDN,Detection_Methods,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:04:04.769298
Energy & Utilities,Chevron,chevron.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:04:05.261554
Energy & Utilities,ConocoPhillips,conocophillips.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:04:05.981559
Energy & Utilities,Duke Energy,duke-energy.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:04:06.610928
Energy & Utilities,NextEra Energy,nexteraenergy.com,Google Cloud CDN,NO,ip: Google Cloud CDN,Google Cloud CDN: 34.230.143.86,,,success,,2025-10-06T22:04:07.261519
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:54.073547
Financial Services & Banking,JPMorgan,jpmorgan.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:54.932982
Financial Services & Banking,Chase,chase.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:55.534955
Financial Services & Banking,Bank of America,bankofamerica.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:56.139780
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,ip: Akamai,"Akamai: 2.19.248.216, 2.19.248.222",,,success,,2025-10-06T22:04:00.742435
Financial Services & Banking,Citigroup,citigroup.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:04:01.467891
Financial Services & Banking,Goldman Sachs,goldmansachs.com,Akamai,NO,headers: Akamai,,,Akamai: x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false,success,,2025-10-06T22:04:02.882626
