Industry,Company,Domain,CDN_Providers,Multi_CDN,Confidence_Level,Confidence_Score,Detection_Methods,ASN_Detection,Reverse_DNS_Detection,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Akamai,NO,high,0.80,cname: Akamai,,,,Akamai: www.exxonmobil.com.edgekey.net (matched: edgekey); e9138.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:11:03.196483
Energy & Utilities,Chevron,chevron.com,Azure CDN,NO,high,0.80,ip: Azure CDN; cname: Azure CDN; headers: Azure CDN,,,"Azure CDN: 13.107.246.40, 13.107.213.40",Azure CDN: www-afd.azurefd.net (matched: azurefd); azurefd-t-prod.trafficmanager.net (matched: azurefd),Azure CDN: x-azure-ref: 20251007t101111z-17f68db9464xztzthc1ltsa7d8000000013g00000000ggh4,success,,2025-10-07T11:11:06.420763
Energy & Utilities,ConocoPhillips,conocophillips.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.159, 23.3.68.146",Akamai: www.conocophillips.com.edgekey.net (matched: edgekey); e103501.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:11:11.932193
Energy & Utilities,Duke Energy,duke-energy.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.154, 23.3.68.160",Akamai: sitecore.edgekey.net (matched: edgekey); e224575.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:11:15.190221
Energy & Utilities,NextEra Energy,nexteraenergy.com,AWS CloudFront; Google Cloud CDN,YES,high,0.85,reverse_dns: AWS CloudFront; ip: Google Cloud CDN; cname: AWS CloudFront; headers: AWS CloudFront,,AWS CloudFront: 34.230.143.86 → ec2-34-230-143-86.compute-1.amazonaws.com; 54.236.212.102 → ec2-54-236-212-102.compute-1.amazonaws.com; 18.245.253.96 → server-18-245-253-96.lhr5.r.cloudfront.net,Google Cloud CDN: 34.230.143.86,AWS CloudFront: d1rtk7f9ktvvqf.cloudfront.net (matched: cloudfront),AWS CloudFront: x-amz-cf-pop: lhr5-p5,success,,2025-10-07T11:11:20.255010
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.151, 23.3.68.140",Akamai: www.jpmorganchase.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:10:24.752386
Financial Services & Banking,JPMorgan,jpmorgan.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.140, 23.3.68.151",Akamai: www.jpmorgan.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:10:28.358366
Financial Services & Banking,Chase,chase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.159, 23.3.68.140",Akamai: gtm.www.chase.com.akadns.net (matched: akadns); www.chase.com.edgekey.net (matched: edgekey); e129412.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:10:31.907686
Financial Services & Banking,Bank of America,bankofamerica.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai; headers: Akamai,,,"Akamai: 23.3.68.140, 23.3.68.147",Akamai: www.bankofamerica.com.edgekey.net (matched: edgekey); e88506.a.akamaiedge.net (matched: akamai),"Akamai: akamai-request-bc: [a=23.3.15.12,b=542574683,c=g,n=gb_en_london,o=20940],[c=c,n=us_ca_sanjose,o=20940],[a=104,c=o]",success,,2025-10-07T11:10:35.574100
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.1.228.160, 23.1.228.181, 23.1.228.194, 23.1.228.186",Akamai: www.wellsfargo.com.edgekey.net (matched: edgekey); e82164.b.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:10:39.381070
Financial Services & Banking,Citigroup,citigroup.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.152, 23.3.68.156",Akamai: www.citigroup.com.edgekey.net (matched: edgekey); e94533.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:10:42.288590
Financial Services & Banking,Goldman Sachs,goldmansachs.com,AWS CloudFront; Akamai,YES,high,0.80,"cname: Akamai; headers: AWS CloudFront,Akamai",,,,Akamai: www.gs.com.edgekey.net (matched: edgekey); e17133.x.akamaiedge.net (matched: akamai),AWS CloudFront: x-amz-cf-pop: lhr50-p1; Akamai: x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false,success,,2025-10-07T11:10:45.750673
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,high,0.80,ip: Fastly; cname: Fastly,,,"Fastly: 151.101.3.10, 151.101.131.10, 151.101.195.10, 151.101.67.10, 151.101.63.10",Fastly: adobe-aem.map.fastly.net (matched: fastly),,success,,2025-10-07T11:09:34.830708
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Akamai; Fastly,YES,high,0.80,ip: Akamai; cname: Akamai; headers: Fastly,,,Akamai: 23.53.175.222,Akamai: www.cvshealth.com.edgekey.net (matched: edgekey); e4953.x.akamaiedge.net (matched: akamai),Fastly: fastly-surrogate-control: max-age=14400,success,,2025-10-07T11:09:42.810486
Healthcare & Pharmaceuticals,Johnson & Johnson,jnj.com,Akamai,NO,high,0.80,cname: Akamai,,,,Akamai: www.jnj.com.edgekey.net (matched: edgekey); e16609.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:09:44.521120
Healthcare & Pharmaceuticals,Pfizer,pfizer.com,Cloudflare,NO,high,0.80,ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,,,"Cloudflare: 172.64.152.162, 104.18.35.94",Cloudflare: www.pfizer.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98ac9af0d9c73d90-lhr; cf-cache-status: hit,success,,2025-10-07T11:09:48.073037
Healthcare & Pharmaceuticals,Cigna,cigna.com,AWS CloudFront,NO,medium,0.70,headers: AWS CloudFront,,,,,AWS CloudFront: x-amz-cf-pop: iad61-p10,success,,2025-10-07T11:09:50.213659
Payment Processing & Fintech,PayPal,paypal.com,Cloudflare; Fastly,YES,high,0.80,"ip: Fastly,Cloudflare; cname: Fastly",,,"Fastly: 151.101.3.1, 151.101.195.1, 151.101.61.21; Cloudflare: 162.159.141.96",Fastly: paypal-dynamic.map.fastly.net (matched: fastly),,success,,2025-10-07T11:10:47.004746
Payment Processing & Fintech,Visa,visa.com,Cloudflare,NO,high,0.80,ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,,,"Cloudflare: 162.159.153.2, 162.159.152.2, 104.18.15.19, 104.18.14.19",Cloudflare: www.visa.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98ac9c800e8ce906-lhr; cf-cache-status: hit,success,,2025-10-07T11:10:51.090529
